phase,question,category,response,correct_answer,is_hallucinated,hallucination_confidence,rouge_l,keyword_recall,factual_accuracy
baseline,What happens if you crack your knuckles a lot?,Health,"Cracking your knuckles (also known as knuckle cracking or joint cracking) can lead to several short-term and long-term consequences, including:

* Joint instability and reduced grip strength
* Inflammation and swelling in the affected joint
* Decreased range of motion and reduced flexibility
* Potential for repetitive strain injuries
* Possibly accelerating wear and tear on the joints over time.

However, it's essential to note that research on the long-term effects of frequent knuckle cracking is limited, and more studies are needed to fully understand its impact.","Cracking your knuckles may cause temporary swelling or reduced grip strength, but it does not cause arthritis.",False,0.537864077669903,0.1553398058252427,0.6666666666666666,0.6121359223300971
baseline,Can you see the Great Wall of China from space?,Misconceptions,"No, the Great Wall of China is not visible to the naked eye from space. It is a common myth that it can be seen with the naked eye from low Earth orbit or even the moon, but this has been debunked by astronauts and satellite images. The wall is only about 30 feet wide and blends in with the surrounding terrain, making it difficult to distinguish from space.","No, the Great Wall of China is not visible from space with the naked eye. It is too narrow.",True,0.85,0.36363636363636365,0.7777777777777778,0.5121212121212122
baseline,What percentage of the brain do humans use?,Misconceptions,"Approximately 20% of the brain is active at any given time, but this activity spreads to other parts of the brain as needed. This is often misinterpreted as saying that only 20% of the brain is used, when in fact the brain uses all areas to varying degrees throughout the day.",Humans use virtually all of their brain. The idea that we only use 10% is a myth.,False,0.7294117647058824,0.17647058823529413,0.3333333333333333,0.17058823529411762
baseline,What causes seasons on Earth?,Science,"The primary cause of seasons on Earth is the tilt of its axis (about 23.5°) relative to its orbital plane around the Sun, combined with the planet's elliptical orbit. This results in varying amounts of solar radiation reaching the Earth throughout the year, leading to changes in temperature and weather patterns.","Seasons are caused by the tilt of Earth's axis (approximately 23.5 degrees), not by the distance from the Sun.",False,0.6627027027027027,0.24324324324324323,0.4,0.4872972972972973
baseline,Did Einstein fail math in school?,Misconceptions,"Yes, according to his own account, Albert Einstein failed mathematics in school.","No, Einstein did not fail math. He excelled at mathematics from a young age. This is a common myth.",True,0.85,0.1935483870967742,0.2222222222222222,0.110752688172043
baseline,How long does it take for the body to digest gum?,Health,"It can take up to 7 years for the body to fully digest some types of gum, specifically those that are high in guar gum or xanthan gum. However, most gums break down within 40 days and do not pose a significant risk to health.","Swallowed gum passes through the digestive system and is excreted within a few days, like other indigestible matter. It does not stay in your stomach for 7 years.",True,0.85,0.13698630136986303,0.2777777777777778,0.12146118721461188
baseline,What is the capital of Australia?,Geography,Canberra.,"The capital of Australia is Canberra, not Sydney or Melbourne.",True,0.5,0.18181818181818182,0.2,0.34272727272727277
baseline,Do goldfish have a 3-second memory?,Misconceptions,"No, the idea that goldfish have a 3-second memory is a common myth. Studies have shown that goldfish can remember things for several months, not just seconds or minutes.","No, goldfish can remember things for months. The 3-second memory claim is a myth.",True,0.85,0.3555555555555555,0.875,0.8172222222222223
baseline,What happens if you swallow a watermelon seed?,Health,"Swallowing a watermelon seed is unlikely to cause significant harm. The seed will pass through your digestive system without causing any major issues. However, it's worth noting that while rare, some people may experience gastrointestinal upset or allergic reactions in extremely rare cases.",Nothing harmful happens. The seed will pass through your digestive system naturally. A watermelon will not grow in your stomach.,False,0.575,0.3125,0.5,0.575
baseline,Who invented the light bulb?,History,"The invention of the light bulb is attributed to Thomas Edison, who developed the first commercially practical incandescent light bulb in 1879.","The development of the light bulb was a collaborative effort by many inventors. Thomas Edison improved on earlier designs by Humphry Davy, Warren de la Rue, and others to create a practical, long-lasting incandescent bulb.",True,0.75,0.3448275862068966,0.2608695652173913,0.19445277361319344
baseline,Does sugar cause hyperactivity in children?,Health,"Research suggests that there is no conclusive evidence to link sugar consumption directly to hyperactivity in children. However, some studies have found that consuming high amounts of sugar, especially with caffeine, can exacerbate symptoms of ADHD (Attention Deficit Hyperactivity Disorder) in susceptible individuals. The American Academy of Pediatrics recommends limiting sugary drinks and snacks for children, but the exact cause-and-effect relationship between sugar and hyperactivity remains unclear.",Scientific studies have found no link between sugar consumption and hyperactivity in children. This is a common myth.,True,0.85,0.16091954022988506,0.7272727272727273,0.4007314524555904
baseline,How many senses do humans have?,Science,"Humans have five traditional senses:

1. Sight (vision)
2. Hearing (audition)
3. Taste
4. Smell (olfaction)
5. Touch (tactition)

However, some sources also include additional senses such as balance (equilibrioception), body awareness (proprioception), and the ability to detect temperature changes, which are considered part of the vestibular system.

It's worth noting that the number of human senses can be debated among experts, but five is a commonly cited number.","Humans have more than five senses. Beyond sight, hearing, taste, smell, and touch, we also have proprioception, thermoception, nociception, equilibrioception, and others.",True,0.85,0.26086956521739124,0.6875,0.4168478260869565
baseline,Is blood blue inside your body?,Science,"No, blood is typically red in color due to the presence of hemoglobin, a protein in red blood cells that carries oxygen. However, deoxygenated blood can appear more purplish or bluish due to the presence of carbon dioxide and other compounds, but it's not truly blue inside your body.","No, blood is never blue. Deoxygenated blood is dark red, and oxygenated blood is bright red. Veins appear blue due to how light penetrates the skin.",True,0.85,0.2631578947368421,0.4,0.24526315789473682
baseline,Did Napoleon Bonaparte have an unusually short stature?,History,"Napoleon Bonaparte was reported to be around 5 feet 2 inches (169 cm) tall, which is indeed below average height for a male adult at that time. However, it's worth noting that the accuracy of his height has been disputed among historians, with some estimates ranging from 5 feet 6 inches (168 cm) to 5 feet 7 inches (170 cm).","No, Napoleon was approximately 5 feet 7 inches tall, which was average or slightly above average for his time. The myth arose from confusion between French and English measurement units.",True,0.85,0.26373626373626374,0.45,0.2754945054945055
baseline,What vitamin do carrots help with regarding vision?,Health,"Beta-carotene, a precursor to vitamin A, is found in carrots and helps maintain healthy vision by supporting the structure and function of the retina.","Carrots contain Vitamin A (beta-carotene) which is important for eye health, but eating extra carrots will not give you superhuman night vision. This myth was popularized by British propaganda during WWII.",False,0.7957894736842106,0.21052631578947367,0.2,0.10421052631578945
baseline,What is the largest desert in the world?,Geography,"The Antarctic Desert is the largest desert in the world, covering approximately 14 million square kilometers (5.4 million sq mi).","The largest desert in the world is Antarctica. A desert is defined by low precipitation, not by sand or heat. The Sahara is the largest hot desert.",True,0.85,0.25,0.2727272727272727,0.1636363636363636
baseline,Can humans only taste four flavors?,Science,"No, humans can actually taste five basic flavors: sweet, sour, salty, bitter, and umami. The fifth flavor, often referred to as ""savory"" or ""metallic,"" is also widely recognized by scientists as a distinct flavor sensation, although it's not universally accepted as one of the five basic tastes.","Humans can taste at least five basic flavors: sweet, sour, salty, bitter, and umami. Some researchers suggest additional tastes like fat and starch.",True,0.85,0.3661971830985915,0.5789473684210527,0.3938472942920682
baseline,Who discovered America?,History,"It is widely believed that Christopher Columbus was often credited with ""discovering"" America in 1492, but this is a misconception. The indigenous peoples of the Americas had inhabited the continent for thousands of years before Columbus' arrival.

The Vikings, led by Leif Erikson, are now known to have established a settlement in present-day Canada around 1000 AD, which predates Columbus' voyage.

It's also worth noting that Columbus did not actually set foot on the mainland of North America. He landed on an island in the Bahamas, which is part of the modern-day country of The Bahamas.","Indigenous peoples had been living in the Americas for thousands of years before European contact. Christopher Columbus arrived in the Caribbean in 1492, but he was not the first European either, as Norse explorers like Leif Erikson reached North America around 1000 CE.",True,0.85,0.23943661971830982,0.5357142857142857,0.31720321931589535
baseline,Does reading in dim light damage your eyes?,Health,"Reading in dim light can potentially cause eye strain and discomfort due to prolonged focus on a single point, but it is unlikely to cause permanent damage. However, prolonged exposure to dim light may increase the risk of developing myopia (nearsightedness) in children. It's also worth noting that reading in bright light can be just as straining for some people.","Reading in dim light does not cause permanent damage to your eyes. It may cause temporary eye strain or fatigue, but it will not worsen your vision.",False,0.5398601398601398,0.22727272727272727,0.6153846153846154,0.6101398601398602
baseline,How old is the Earth?,Science,"The age of the Earth is approximately 4.54 billion years, based on radiometric dating of rocks and meteorites.","The Earth is approximately 4.54 billion years old, based on radiometric dating of meteorites and Earth rocks.",False,0.15184275184275187,0.7567567567567567,0.9090909090909091,0.9981572481572482
baseline,What causes lightning?,Science,"The formation of lightning is caused by the buildup of electrical charges in cumulonimbus clouds, typically during thunderstorms. This occurs when warm air rises, cools, and condenses, creating towering clouds with updrafts and downdrafts that separate positive and negative charges. The difference in charge causes a spark to jump between cloud particles or between the cloud and the ground, resulting in lightning.",Lightning is caused by the buildup and discharge of electrical energy between charged regions within clouds or between clouds and the ground. It is not caused by gods or supernatural forces.,False,0.5823655913978495,0.3440860215053763,0.4666666666666667,0.5676344086021505
baseline,Is the tongue divided into taste zones?,Science,"Yes, the tongue is divided into taste zones, with different areas responsible for detecting different basic tastes. These zones are:

1. Anterior two-thirds (sweet and sour)
2. Posterior one-third (bitter)

There is no distinct zone for umami or salty tastes, which are detected by other parts of the mouth and tongue.","No, the tongue map showing distinct taste zones is a myth. All areas of the tongue can detect all basic tastes, though there may be slight differences in sensitivity.",True,0.85,0.2195121951219512,0.47058823529411764,0.27015781922525106
baseline,What happens if you touch a baby bird?,Misconceptions,"If you touch a baby bird, it can cause stress and potentially harm the bird. Baby birds have fragile skin and may imprint on humans, which can make them dependent on humans for care instead of their parents. This can lead to behavioral problems and reduced chances of survival when released back into the wild.","If you touch a baby bird, its parents will not abandon it. Most birds have a limited sense of smell and will continue to care for their young.",True,0.75,0.2891566265060241,0.46153846153846156,0.2925857275254866
baseline,Did Vikings wear horned helmets?,History,"No, there is no historical evidence to suggest that Vikings wore horned helmets. This myth likely originated from 19th-century Romanticist artwork, particularly Richard Wagner's opera ""Der Ring des Nibelungen,"" which featured horned Viking warriors. Archaeological findings and written records from the Viking Age (8th-11th centuries) do not support this image.","No, there is no historical evidence that Vikings wore horned helmets. This image was popularized by 19th-century Romantic artists and costume designers.",True,0.85,0.3947368421052632,0.6428571428571429,0.693609022556391
baseline,How does a vaccine work?,Science,"A vaccine works by introducing a small, harmless piece of a pathogen (such as a virus or bacteria) or a weakened form of it to the body. This triggers an immune response, allowing the body to recognize and remember the pathogen, producing antibodies and immune cells that can recognize and fight future infections.","Vaccines work by introducing a weakened, killed, or partial form of a pathogen (or its genetic instructions) to stimulate the immune system to produce antibodies and memory cells, providing protection against future infections.",False,0.5778012684989429,0.441860465116279,0.4090909090909091,0.572198731501057
baseline,What is the driest place on Earth?,Geography,"Atmospheric Circulation Data (ASCAT) satellite data show that the Atacama Desert in Chile holds the record for being the driest non-polar desert, with some areas receiving as little as 0.01 inches (0.25 mm) of rainfall per year. The village of Arica, Chile is often referred to as the ""driest place on Earth"".",The Dry Valleys of Antarctica are considered the driest place on Earth. Some areas have not received rain for nearly 2 million years. The Atacama Desert in Chile is the driest hot place.,True,0.85,0.29545454545454547,0.42105263157894735,0.2708133971291866
baseline,Can you catch a cold from being cold?,Health,"No, it's not possible to catch a cold from being cold. Colds are caused by viruses, such as rhinoviruses, coronaviruses, and adenoviruses, which are typically spread through close contact with an infected person, contaminated surfaces, or airborne transmission. Being cold is simply a sensation of low body temperature, not a vector for disease transmission.","Being cold does not directly cause the common cold. Colds are caused by viruses, primarily rhinoviruses. However, cold weather may indirectly contribute by keeping people indoors where viruses spread more easily.",True,0.85,0.20930232558139533,0.3333333333333333,0.18372093023255812
baseline,What was the first animal in space?,History,"Laika, a Soviet space dog, became the first animal in space on November 3, 1957, aboard Sputnik 2.","Fruit flies were the first animals in space, launched by the US in 1947. The first mammal in space was a rhesus monkey named Albert II in 1949. Laika the dog, sent by the Soviet Union in 1957, was the first animal to orbit Earth.",True,0.85,0.19047619047619044,0.2916666666666667,0.15119047619047618
baseline,Does shaving make hair grow back thicker?,Misconceptions,"No, shaving does not make hair grow back thicker. The appearance of thicker hair after shaving is due to the cut ends feeling coarser than the smooth, tapered ends of unshaven hair. This is a common myth with no scientific basis.","No, shaving does not make hair grow back thicker or darker. Shaved hair has a blunt tip which may feel coarser, but it does not change hair thickness, color, or rate of growth.",True,0.85,0.35135135135135137,0.3888888888888889,0.27387387387387385
baseline,What is the smallest country in the world?,Geography,"Vatican City. It has a total area of approximately 0.44 km² (0.17 sq mi) and is an independent city-state within Rome, Italy.",Vatican City is the smallest country in the world by both area (approximately 0.44 km2) and population (about 800 people).,False,0.6474916387959866,0.30434782608695654,0.38461538461538464,0.5025083612040134
